26-08-2019:09:50:30,490 INFO [test.py:11] 输入网址
26-08-2019:09:50:34,328 INFO [test.py:14] 成功登录网址
26-08-2019:09:50:36,395 INFO [test.py:18] 单击账号密码登录
26-08-2019:09:50:36,576 INFO [test.py:21] 输入账号：13592386651
26-08-2019:09:50:36,676 INFO [test.py:23] 输入密码：981007.li
26-08-2019:09:50:36,791 INFO [test.py:25] 单击登录
26-08-2019:09:50:46,115 INFO [test.py:31] 单击写信
26-08-2019:09:50:46,712 INFO [test.py:33] 输入收件人
26-08-2019:09:50:46,887 INFO [test.py:35] 输入主题
26-08-2019:09:50:47,42 INFO [test.py:38] 输入正文
26-08-2019:09:50:47,180 INFO [test.py:41] 单击发送
26-08-2019:09:52:30,603 INFO [test.py:11] 输入网址
26-08-2019:09:52:53,561 INFO [test.py:11] 输入网址
26-08-2019:10:01:28,348 INFO [test.py:11] 输入网址
26-08-2019:10:01:31,674 INFO [test.py:14] 成功登录网址
26-08-2019:10:01:33,773 INFO [test.py:18] 单击账号密码登录
26-08-2019:10:01:33,962 INFO [test.py:21] 输入账号：13592386651
26-08-2019:10:01:34,59 INFO [test.py:23] 输入密码：981007.li
26-08-2019:10:01:34,195 INFO [test.py:25] 单击登录
26-08-2019:10:01:38,426 INFO [test.py:32] 单击写信
26-08-2019:10:01:38,901 INFO [test.py:34] 输入收件人
26-08-2019:10:01:39,4 INFO [test.py:36] 输入主题
26-08-2019:10:01:39,316 INFO [test.py:39] 输入正文
26-08-2019:10:01:39,632 INFO [test.py:42] 单击发送
26-08-2019:11:13:54,508 INFO [test.py:11] 输入网址
26-08-2019:11:13:58,254 INFO [test.py:14] 成功登录网址
26-08-2019:11:14:00,829 INFO [test.py:18] 单击账号密码登录
26-08-2019:11:14:00,971 INFO [test.py:21] 输入账号：13592386651
26-08-2019:11:14:01,42 INFO [test.py:23] 输入密码：981007.li
26-08-2019:11:14:01,146 INFO [test.py:25] 单击登录
26-08-2019:11:14:07,766 INFO [test.py:32] 单击写信
26-08-2019:11:14:08,206 INFO [test.py:34] 输入收件人
26-08-2019:11:14:08,344 INFO [test.py:36] 输入主题
26-08-2019:11:14:08,623 INFO [test.py:39] 输入正文
26-08-2019:11:14:08,872 INFO [test.py:42] 单击发送
26-08-2019:11:27:20,237 INFO [test.py:11] 输入网址
26-08-2019:11:27:25,376 INFO [test.py:14] 成功登录网址
26-08-2019:11:27:27,466 INFO [test.py:18] 单击账号密码登录
26-08-2019:11:27:27,636 INFO [test.py:21] 输入账号：13592386651
26-08-2019:11:27:27,732 INFO [test.py:23] 输入密码：981007.li
26-08-2019:11:27:27,845 INFO [test.py:25] 单击登录
26-08-2019:11:27:36,496 INFO [test.py:32] 单击写信
26-08-2019:11:27:37,101 INFO [test.py:34] 输入收件人
26-08-2019:11:27:37,226 INFO [test.py:36] 输入主题
26-08-2019:11:27:37,438 INFO [test.py:39] 输入正文
26-08-2019:11:27:37,610 INFO [test.py:42] 单击发送
